Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption,High_Usage,Efficiency_Category
4,16,15.3,6,0.39,8.64,Weekend,179.26,276.66,0,Low
5,8,21.03,10,0.36,5.1,Weekday,280.1,344.66,0,Low
3,20,39.4,5,0.05,9.73,Weekend,413.01,478.42,1,Medium
5,8,35.04,0,0.22,6.75,Weekday,72.44,224.03,0,Low
5,9,38.99,6,0.02,7.33,Weekday,321.53,454.01,1,Medium
2,9,27.2,9,0.58,7.76,Weekend,413.05,375.6,0,Low
3,12,17.74,6,0.11,7.67,Weekday,120.61,239.92,0,Low
3,14,28.7,8,0.87,6.58,Weekday,56.76,221.22,0,Low
3,21,26.36,0,0.52,6.0,Weekday,190.72,283.91,0,Low
5,13,36.11,1,0.7,3.38,Weekend,314.66,325.58,0,Low
4,23,17.45,10,0.41,3.15,Weekend,112.23,320.83,0,Low
3,18,27.21,8,0.56,5.51,Weekend,241.76,318.92,0,Low
6,12,18.75,8,0.94,5.34,Weekend,298.54,343.7,0,Low
5,13,23.12,5,0.08,5.71,Weekday,319.5,380.56,0,Low
2,15,33.43,5,0.25,3.97,Weekend,173.49,305.28,0,Low
4,5,26.9,3,0.78,8.17,Weekend,230.01,218.7,0,Low
6,18,24.4,3,0.1,9.0,Weekend,400.25,489.35,1,Medium
6,9,24.86,4,0.08,9.57,Weekday,473.55,499.69,1,Medium
2,18,26.49,2,0.36,6.45,Weekend,437.85,411.08,1,Medium
4,8,34.63,0,0.09,7.91,Weekend,303.93,368.24,0,Low
5,5,37.3,0,0.59,8.99,Weekday,234.63,267.65,0,Low
1,23,38.88,11,0.23,5.93,Weekday,199.83,387.16,0,Low
4,12,34.67,6,0.9,5.17,Weekday,106.23,251.75,0,Low
2,19,22.89,0,0.78,9.56,Weekday,97.95,153.79,0,Low
6,19,32.2,0,0.7,6.61,Weekend,359.76,403.56,1,Medium
5,13,25.94,2,0.62,6.48,Weekday,166.91,293.75,0,Low
4,13,21.37,9,0.86,4.25,Weekend,164.6,237.24,0,Low
1,14,36.02,3,0.22,3.76,Weekend,499.19,420.25,1,Medium
1,24,15.96,3,0.87,8.89,Weekend,134.57,185.62,0,Low
3,13,37.54,1,0.79,7.3,Weekend,116.63,208.16,0,Low
3,7,26.54,0,0.75,5.28,Weekend,94.41,150.05,0,Low
2,24,30.93,2,0.56,4.34,Weekday,310.91,351.98,0,Low
4,15,31.48,10,0.25,6.89,Weekend,332.54,424.16,1,Medium
4,10,37.38,3,0.42,7.09,Weekend,214.35,341.52,0,Low
6,6,30.92,2,0.79,4.45,Weekend,290.94,267.86,0,Low
6,11,30.35,7,0.03,8.96,Weekday,404.78,504.54,1,Medium
6,22,16.67,9,0.78,3.59,Weekend,418.15,465.99,1,Medium
3,6,27.96,0,0.24,5.49,Weekend,481.06,377.97,0,Low
4,21,18.75,1,0.14,7.76,Weekday,420.92,460.47,1,Medium
4,15,33.44,6,0.12,4.92,Weekend,304.18,400.23,0,Medium
1,16,27.81,3,0.03,8.79,Weekend,130.85,244.66,0,Low
3,23,32.01,7,0.52,8.18,Weekday,94.89,278.97,0,Low
5,11,16.04,10,0.22,8.52,Weekend,74.53,277.41,0,Low
3,24,17.12,2,0.99,3.83,Weekend,349.94,280.43,0,Low
5,10,32.91,5,0.57,3.98,Weekend,413.39,451.23,1,Medium
1,5,16.8,8,0.14,5.01,Weekend,278.91,246.76,0,Low
2,21,16.78,0,0.69,6.63,Weekend,74.62,175.95,0,Low
4,15,15.3,0,0.9,8.24,Weekday,290.96,266.95,0,Low
1,22,38.91,7,0.75,8.86,Weekday,471.09,438.3,1,Medium
4,21,33.44,2,0.08,7.93,Weekday,318.93,432.77,1,Medium
6,11,23.83,4,0.9,9.5,Weekend,414.24,404.46,1,Medium
2,21,22.41,0,0.79,8.17,Weekend,410.07,327.97,0,Low
2,24,23.74,4,0.16,5.14,Weekend,469.46,451.33,1,Medium
1,13,34.37,10,0.05,4.86,Weekday,396.6,438.96,1,Medium
2,21,31.53,5,0.56,7.87,Weekend,386.47,399.74,0,Low
5,24,19.63,7,0.16,4.35,Weekend,155.35,395.72,0,Low
2,12,19.35,2,0.83,3.65,Weekend,76.97,120.28,0,Low
4,21,17.46,2,0.36,6.73,Weekday,282.92,337.82,0,Low
4,11,31.51,11,0.91,8.75,Weekday,106.0,241.02,0,Low
4,5,34.11,10,0.57,3.71,Weekend,482.99,422.87,1,Medium
4,17,21.63,10,0.18,8.54,Weekend,180.47,329.69,0,Low
5,23,15.52,9,0.14,8.68,Weekend,433.82,517.11,1,Medium
3,23,17.05,8,0.58,6.38,Weekday,224.43,349.0,0,Low
6,21,39.2,3,0.76,3.4,Weekday,195.44,371.39,0,Low
1,17,22.39,3,0.78,4.22,Weekday,470.82,322.09,0,Low
4,20,34.23,11,0.28,7.95,Weekend,213.5,402.37,0,Medium
2,12,30.62,6,0.2,7.98,Weekday,225.63,318.97,0,Low
4,23,24.55,1,0.02,9.29,Weekend,97.74,324.67,0,Low
2,22,20.14,7,0.68,7.08,Weekend,351.7,370.15,0,Low
6,5,18.03,5,0.08,3.87,Weekday,179.98,314.38,0,Low
6,18,30.38,2,0.42,3.85,Weekend,313.52,401.83,0,Medium
6,23,34.37,8,0.6,8.05,Weekday,316.11,458.3,1,Medium
2,19,31.1,4,0.94,4.29,Weekend,373.64,309.5,0,Low
4,22,28.26,7,0.31,5.3,Weekend,385.36,487.35,1,Medium
6,6,16.05,6,0.25,6.41,Weekday,281.5,298.06,0,Low
