Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption
4,25,38.8,2,No,Low,Weekday,38.01,47.97
5,10,21.2,6,No,Low,Weekday,19.65,25.36
3,10,6.6,5,Yes,High,Weekday,20.89,17.08
5,20,18.7,3,Yes,Low,Weekday,26.43,25.47
5,14,10.7,1,Yes,High,Weekday,23.34,22.44
2,15,19.3,11,No,High,Weekday,15.38,17.56
3,13,1.0,8,No,Medium,Weekend,24.22,33.89
3,7,1.4,0,Yes,Medium,Weekend,20.85,24.24
3,23,2.0,12,No,Medium,Weekend,31.06,42.77
5,12,37.9,12,Yes,High,Weekend,25.23,31.09
4,14,28.6,10,No,Low,Weekday,20.59,23.94
3,8,3.0,3,Yes,Medium,Weekday,17.53,19.61
6,10,4.2,0,No,Medium,Weekday,27.15,27.01
5,18,28.7,12,No,Medium,Weekday,20.2,24.64
2,13,2.9,5,No,Medium,Weekday,32.31,36.44
4,15,6.5,3,No,Medium,Weekday,26.39,30.02
6,15,39.4,4,No,Medium,Weekday,26.95,31.01
6,19,7.5,4,No,High,Weekday,35.73,34.34
2,10,25.9,8,Yes,Low,Weekday,14.53,16.93
4,21,40.2,0,Yes,High,Weekday,33.78,29.94
5,10,13.1,12,No,Medium,Weekend,25.1,28.35
1,8,-2.9,1,Yes,High,Weekday,27.51,28.42
4,11,7.4,12,Yes,Medium,Weekday,12.45,15.31
2,7,33.8,5,No,Medium,Weekday,22.28,26.46
6,15,35.4,4,No,Low,Weekday,33.59,38.94
5,12,31.1,10,No,High,Weekday,24.91,30.21
4,23,1.7,6,Yes,Low,Weekday,33.69,34.74
1,6,32.5,2,Yes,High,Weekday,21.67,23.42
1,9,38.1,2,No,High,Weekday,20.0,22.55
3,9,23.8,9,Yes,Low,Weekend,11.12,14.1
3,10,39.2,1,Yes,Low,Weekend,17.69,22.06
2,8,34.1,12,No,Medium,Weekday,15.9,21.46
4,23,27.0,2,No,Low,Weekday,29.77,30.69
4,24,23.0,9,No,High,Weekend,32.4,36.0
6,15,12.8,0,Yes,Low,Weekday,20.33,16.18
6,24,4.3,4,Yes,Low,Weekday,38.93,40.7
6,21,24.4,11,No,High,Weekday,30.7,27.65
3,16,11.6,4,Yes,Medium,Weekend,22.46,23.29
4,19,36.3,11,No,High,Weekday,25.61,31.22
4,14,42.1,10,No,Medium,Weekday,19.14,26.11
1,6,31.3,6,No,Medium,Weekend,19.45,25.76
3,10,1.5,3,No,Medium,Weekday,21.51,27.95
5,14,10.5,2,Yes,Medium,Weekday,27.6,27.46
3,15,2.5,0,No,Medium,Weekend,29.19,35.87
5,18,26.9,11,No,Medium,Weekday,18.68,26.2
1,8,32.1,7,No,Medium,Weekday,14.84,15.13
2,15,39.4,12,Yes,Low,Weekday,21.8,27.39
4,19,17.5,2,Yes,Medium,Weekday,17.94,13.3
1,5,38.4,12,No,Low,Weekday,9.45,20.52
4,10,37.4,1,No,Medium,Weekday,20.73,24.44
6,22,12.2,10,No,Low,Weekday,38.98,44.03
2,14,37.1,3,Yes,Medium,Weekend,19.92,24.13
2,9,14.9,2,No,Medium,Weekday,15.95,16.54
1,14,11.5,12,No,Low,Weekday,15.33,19.63
2,6,27.3,0,No,Low,Weekday,18.95,18.01
5,12,13.0,2,No,Low,Weekend,19.69,23.61
